date,mean_valid_observation_count,missing_data_flag,ndsi_mean,scene_count,snow_area_km2,snow_fraction_valid,valid_area_fraction,year,ndsi_threshold
2017-10-01,5.0,0,0.27896366194905975,5,2.3265622638525834,0.446499439894433,0.998432084708628,2017,0.3
2018-10-01,9.999923911397996,0,0.25016680185775714,10,2.162106849862607,0.4149381739979687,0.998432084708628,2018,0.3
2019-10-01,10.038331218440064,0,0.34623054813409515,22,2.572262419018792,0.49365269401883616,0.998432084708628,2019,0.3
2020-10-01,12.897611161352453,0,0.25858941294752963,22,2.2645428151942815,0.4345970508981298,0.998432084708628,2020,0.3
2021-10-01,15.139452442113862,0,0.36849236770512833,22,2.7369862163701066,0.5252654663900579,0.998432084708628,2021,0.3
2022-10-01,19.117359006895704,0,0.40579699788522094,22,2.905588048281442,0.5576224871684008,0.998432084708628,2022,0.3
2023-10-01,16.414094251056962,0,0.32622224852606585,23,2.678472679018626,0.5140359102077036,0.998432084708628,2023,0.3
2024-10-01,21.49538567542237,0,0.24820534891990417,25,2.208277610904945,0.4237989808911255,0.998432084708628,2024,0.3
2025-10-01,21.79934722320192,0,0.49448576430422053,27,3.3545512387988556,0.6437847258558347,0.998432084708628,2025,0.3
2017-10-01,5.0,0,0.27896366194905975,5,2.1781258759691395,0.4180124464106816,0.998432084708628,2017,0.4
2018-10-01,9.999923911397996,0,0.25016680185775714,10,2.027924590641275,0.3891867447252851,0.998432084708628,2018,0.4
2019-10-01,10.038331218440064,0,0.34623054813409515,22,2.48927708939879,0.47772666282230614,0.998432084708628,2019,0.4
2020-10-01,12.897611161352453,0,0.25858941294752963,22,2.1296992494978344,0.40871870777692176,0.998432084708628,2020,0.4
2021-10-01,15.139452442113862,0,0.36849236770512833,22,2.6503534251235044,0.5086394369176955,0.998432084708628,2021,0.4
2022-10-01,19.117359006895704,0,0.40579699788522094,22,2.8337860414164227,0.5438426901061724,0.998432084708628,2022,0.4
2023-10-01,16.414094251056962,0,0.32622224852606585,23,2.5587645823267313,0.49106227268499575,0.998432084708628,2023,0.4
2024-10-01,21.49538567542237,0,0.24820534891990417,25,2.065011464819933,0.39630422823539124,0.998432084708628,2024,0.4
2025-10-01,21.79934722320192,0,0.49448576430422053,27,3.27421685012734,0.6283674468500724,0.998432084708628,2025,0.4
2017-10-01,5.0,0,0.27896366194905975,5,2.020407011164525,0.3877440173683251,0.998432084708628,2017,0.5
2018-10-01,9.999923911397996,0,0.25016680185775714,10,1.8932443995040569,0.3633397554390128,0.998432084708628,2018,0.5
2019-10-01,10.038331218440064,0,0.34623054813409515,22,2.414272991235111,0.4633323402029688,0.998432084708628,2019,0.5
2020-10-01,12.897611161352453,0,0.25858941294752963,22,1.9695759232381178,0.37798882936369255,0.998432084708628,2020,0.5
2021-10-01,15.139452442113862,0,0.36849236770512833,22,2.5619440408255745,0.4916724546951477,0.998432084708628,2021,0.5
2022-10-01,19.117359006895704,0,0.40579699788522094,22,2.766489339968692,0.5309275233943227,0.998432084708628,2022,0.5
2023-10-01,16.414094251056962,0,0.32622224852606585,23,2.430513923486086,0.46644919947043406,0.998432084708628,2023,0.5
2024-10-01,21.49538567542237,0,0.24820534891990417,25,1.91841311794254,0.36816998021324027,0.998432084708628,2024,0.5
2025-10-01,21.79934722320192,0,0.49448576430422053,27,3.191777221829885,0.6125461432762036,0.998432084708628,2025,0.5
