angle_deg,date,mean_valid_observation_count,missing_data_flag,orbit_pass,relative_orbit,scene_count,valid_area_fraction,vh_db,vh_std_db,vv_db,vv_std_db,is_complete_period,period_completeness,expected_observation_count,observation_count,quality_status,quality_reason,vv_change_db,vh_change_db
,2015-07-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2015-08-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2015-09-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
39.80440596364062,2015-10-01,1.0,0,ASCENDING,85,1,0.9541025588925441,-14.174654200633105,7.095131338775563,-7.192089027537892,8.043180026112205,True,0.9541025588925441,,1.0,GOOD,VV/VH and ROI coverage pass requirements,,
,2015-11-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2015-12-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-01-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-02-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-03-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-04-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-05-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-06-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-07-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
,2016-08-01,,1,ASCENDING,85,0,0.0,,,,,False,0.0,,,INSUFFICIENT,missing VV/VH or valid ROI coverage below threshold,,
