date,mean_valid_observation_count,missing_data_flag,ndsi_mean,scene_count,snow_area_km2,snow_fraction_valid,valid_area_fraction
2017-04-01,1.0,0,0.3889800340599125,1,2.7857834206497474,0.5346303240247704,0.998432084708628
2017-05-01,,1,,0,0.0,,0.0
2017-06-01,,1,,0,0.0,,0.0
2017-07-01,,1,,0,0.0,,0.0
2017-08-01,,1,,0,0.0,,0.0
2017-09-01,,1,,0,0.0,,0.0
2017-10-01,,1,,0,0.0,,0.0
2017-11-01,5.0,0,0.27896366194905975,5,2.1781258759691395,0.4180124464106816,0.998432084708628
2017-12-01,8.59562659624243,0,0.28646533447358663,10,2.248376878393313,0.43149458429358306,0.998432084708628
2018-01-01,7.0,0,0.26303478350241266,7,2.0956721122581317,0.40218843005567134,0.998432084708628
2018-02-01,2.657156912398503,0,0.5122337345514396,3,3.835331014833701,0.7360530068502398,0.998432084708628
2018-03-01,4.0,0,0.4855834735855658,4,3.397120988605813,0.6519544489449465,0.998432084708628
2018-04-01,1.0,0,0.43281132955219553,1,3.0244128699850634,0.5804266120184137,0.998432084708628
2018-05-01,1.0,0,0.45351557471468207,1,3.2108758398856403,0.6162114319285398,0.998432084708628
2018-06-01,,1,,0,0.0,,0.0
2018-07-01,,1,,0,0.0,,0.0
2018-08-01,,1,,0,0.0,,0.0
2018-09-01,1.0,0,0.3563371817582479,1,2.4290914451153918,0.466176206219557,0.998432084708628
2018-10-01,3.0,0,0.26394746139751607,3,2.0699611906772972,0.3972541490078895,0.998432084708628
2018-11-01,6.999923911397984,0,0.24849493859481908,7,2.0285651597930294,0.3893096787949705,0.998432084708628
2018-12-01,4.084874193573102,0,0.23547308854423527,7,2.0391572138923166,0.3913424403058668,0.998432084708628
2019-01-01,5.622457867918111,0,0.39699355789073726,9,2.8962350915648223,0.5558275255633707,0.998432084708628
2019-02-01,4.068666792952606,0,0.7318446223066779,7,5.143962858065621,0.9871975363172985,0.998432084708628
2019-03-01,4.872829262196826,0,0.7594737085159582,11,4.953334138013304,0.9506132514032088,0.998432084708628
